n_mels,groups,epoch,train_loss,val_acc,epoch_time
20,1,1,0.207978,0.968867,6.77
20,1,2,0.096450,0.970112,6.66
20,1,3,0.063959,0.985056,5.99
20,1,4,0.054966,0.972603,6.44
20,1,5,0.040058,0.981320,5.82
20,1,6,0.031567,0.992528,6.01
20,1,7,0.034108,0.961395,6.17
20,1,8,0.029340,0.983811,5.42
20,1,9,0.025088,0.991283,4.97
20,1,10,0.023125,0.990037,4.99
40,1,1,0.204331,0.941469,5.56
40,1,2,0.103975,0.890411,5.15
40,1,3,0.067028,0.980075,5.62
40,1,4,0.048423,0.980075,5.53
40,1,5,0.047866,0.976339,5.29
40,1,6,0.042681,0.991283,5.56
40,1,7,0.032850,0.982565,5.39
40,1,8,0.034668,0.961395,5.38
40,1,9,0.027842,0.987547,5.41
40,1,10,0.020449,0.983811,5.33
80,1,1,0.196741,0.950187,6.49
80,1,2,0.096910,0.961395,5.75
80,1,3,0.065788,0.977584,5.77
80,1,4,0.052505,0.982565,6.23
80,1,5,0.041298,0.987547,5.78
80,1,6,0.038713,0.975093,6.06
80,1,7,0.034236,0.978829,6.06
80,1,8,0.034039,0.986301,6.15
80,1,9,0.025092,0.992528,6.10
80,1,10,0.025656,0.995019,6.18
40,2,1,0.217935,0.961395,5.95
40,2,2,0.096073,0.960149,6.00
40,2,3,0.068109,0.963885,6.91
40,2,4,0.055428,0.985056,6.92
40,2,5,0.046888,0.982565,6.17
40,2,6,0.037982,0.985056,5.60
40,2,7,0.031630,0.981320,5.68
40,2,8,0.029467,0.992528,6.38
40,2,9,0.029340,0.982565,5.83
40,2,10,0.027531,0.987547,5.59
40,4,1,0.225103,0.948941,6.22
40,4,2,0.105167,0.973848,6.13
40,4,3,0.085788,0.980075,6.19
40,4,4,0.062511,0.971357,6.29
40,4,5,0.050936,0.976339,6.23
40,4,6,0.042062,0.975093,6.21
40,4,7,0.035737,0.986301,6.26
40,4,8,0.034224,0.952677,6.71
40,4,9,0.034652,0.985056,6.64
40,4,10,0.024746,0.985056,6.85
40,8,1,0.271093,0.946451,7.65
40,8,2,0.104929,0.972603,7.34
40,8,3,0.074073,0.975093,7.26
40,8,4,0.061874,0.966376,7.38
40,8,5,0.062001,0.980075,7.60
40,8,6,0.040115,0.990037,7.51
40,8,7,0.038286,0.968867,7.37
40,8,8,0.036427,0.976339,7.37
40,8,9,0.037218,0.980075,7.40
40,8,10,0.028582,0.986301,7.40
40,16,1,0.299141,0.938979,9.89
40,16,2,0.142536,0.955168,9.75
40,16,3,0.099285,0.963885,9.29
40,16,4,0.081811,0.973848,9.24
40,16,5,0.065287,0.980075,9.19
40,16,6,0.054964,0.986301,9.31
40,16,7,0.047347,0.978829,9.25
40,16,8,0.048560,0.980075,9.55
40,16,9,0.044993,0.978829,9.83
40,16,10,0.037546,0.981320,10.02
